Name,API Name,Instance Family,Instance Memory,vCPUs,Arch,On Demand,Linux Spot Average cost,Generation
M6IN Extra Large,m6in.xlarge,m6in,16 GiB,4 vCPUs,x86_64,$0.2902 hourly,$0.0609 hourly,current
M6ID Double Extra Large,m6id.2xlarge,m6id,32 GiB,8 vCPUs,x86_64,$0.5124 hourly,$0.2050 hourly,current
I3EN Large,i3en.large,i3en,16 GiB,2 vCPUs,x86_64,$0.2570 hourly,$0.0257 hourly,current
M5A Extra Large,m5a.xlarge,m5a,16 GiB,4 vCPUs,x86_64,$0.1110 hourly,$0.0544 hourly,current
M7I Extra Large,m7i.xlarge,m7i,16 GiB,4 vCPUs,x86_64,$0.2121 hourly,$0.0912 hourly,current
M7A Extra Large,m7a.xlarge,m7a,16 GiB,4 vCPUs,x86_64,unavailable,unavailable,current
R7I Extra Large,r7i.xlarge,r7i,32 GiB,4 vCPUs,x86_64,$0.2730 hourly,$0.0874 hourly,current
I4I Extra Large,i4i.xlarge,i4i,32 GiB,4 vCPUs,x86_64,$0.3890 hourly,$0.1089 hourly,current
M5 General Purpose Double Extra Large,m5d.2xlarge,m5d,32 GiB,8 vCPUs,x86_64,$0.4880 hourly,$0.2391 hourly,current
M8G Extra Large,m8g.xlarge,m8g,16 GiB,4 vCPUs,arm64,$0.1283 hourly,$0.0128 hourly,current
C6I Large,c6i.large,c6i,4 GiB,2 vCPUs,x86_64,$0.0850 hourly,$0.0297 hourly,current
C6IN Double Extra Large,c6in.2xlarge,c6in,16 GiB,8 vCPUs,x86_64,$0.4536 hourly,$0.2404 hourly,current
D3 Extra Large,d3.xlarge,d3,32 GiB,4 vCPUs,x86_64,$0.5240 hourly,$0.0943 hourly,current
C4 High-CPU Extra Large,c4.xlarge,c4,7.5 GiB,4 vCPUs,x86_64,$0.2000 hourly,$0.0880 hourly,current
Z1D Large,z1d.large,z1d,16 GiB,2 vCPUs,x86_64,$0.1960 hourly,$0.0333 hourly,current
R7GD Large,r7gd.large,r7gd,16 GiB,2 vCPUs,arm64,$0.0880 hourly,$0.0282 hourly,current
